epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.399,1.24231,3.90823,3.07786,1.56506,1,0.078,0.33298,0.32881,1,0.078,0.33272,0.29768,0.8494,2.37605,3.08293,0.94199,0.00021435,0.00021435,0.00021435
2,219.771,0.91153,2.00626,1.57578,1.26343,0.99946,0.33333,0.34066,0.33469,0.99946,0.33333,0.34901,0.32242,0.95122,2.10993,2.73959,1.04954,0.000399134,0.000399134,0.000399134
3,336.807,0.85952,1.71536,1.28266,1.20301,0.99827,0.33333,0.34621,0.30444,0.99827,0.33333,0.35756,0.29053,0.9534,1.80851,2.49885,1.03809,0.000538647,0.000538647,0.000538647
4,450.794,0.78739,1.52342,1.12835,1.17841,0.99561,0.33333,0.54078,0.4546,0.99561,0.33333,0.54436,0.44563,0.81863,1.55093,2.07761,0.91192,0.00063289,0.00063289,0.00063289
5,943.175,0.75432,1.47241,1.04941,1.13859,0.99189,0.36021,0.74493,0.55069,0.99189,0.36021,0.75473,0.51848,0.88244,1.47975,1.82471,0.95017,0.000681862,0.000681862,0.000681862
6,1052.65,0.75216,1.39716,1.00509,1.16593,0.94495,0.57953,0.72893,0.56623,0.95194,0.58513,0.73644,0.52734,0.83091,1.46994,1.35448,0.92299,0.000685563,0.000685563,0.000685563
7,1168.43,0.73645,1.36324,0.9539,1.13262,0.91108,0.71819,0.8058,0.60355,0.92612,0.71363,0.8111,0.57011,0.83256,1.37569,1.17695,0.92934,0.000580174,0.000580174,0.000580174
8,1285.28,0.69073,1.27683,0.8401,1.12213,0.80699,0.77717,0.82876,0.63575,0.80972,0.77997,0.82853,0.58206,0.77152,1.30442,1.01251,0.87295,0.000438703,0.000438703,0.000438703
9,1398.12,0.66961,1.34341,0.81107,1.09645,0.88471,0.76813,0.8531,0.66755,0.89233,0.77295,0.85587,0.60132,0.72679,1.27762,0.9121,0.83492,0.000297232,0.000297232,0.000297232
10,1511.62,0.64514,1.21879,0.75758,1.08395,0.86797,0.81696,0.87066,0.68132,0.87076,0.81976,0.87457,0.61225,0.73026,1.20553,0.84028,0.84394,0.000155761,0.000155761,0.000155761
